kepoi_name,confirmation_probability
K02828.02,0.9999879074620612
K02103.02,0.9999876329109418
K01546.01,0.9999876071257284
K03066.01,0.9999875024200067
K03267.01,0.999987473356849
K04166.01,0.9999873952739702
K02683.01,0.9999873421474429
K00558.01,0.999987310886832
K00914.01,0.9999872885637154
K03022.02,0.9999872768409089
K05769.01,0.9999872672193885
K02377.01,0.9999871319267263
K03029.02,0.9999871039226551
K01982.01,0.9999870960335372
K03340.02,0.9999870944967296
K01470.01,0.9999870655105493
K02352.03,0.999987043370814
K00732.03,0.9999870204861842
K01420.01,0.9999867908692229
K01816.01,0.9999867032691273
K04389.01,0.9999866013438103
K03019.02,0.9999865970206971
K04674.01,0.9999865855379381
K04663.01,0.9999864313991544
K01705.01,0.9999863100923009
K02059.02,0.9999863073171086
K04116.01,0.999986252549032
K02811.01,0.999986210539459
K07435.01,0.9999861045871604
K02926.05,0.9999859872980931
K01118.01,0.9999857738468063
K03391.01,0.9999856978894239
K02241.01,0.9999856123824707
K04737.01,0.9999854498502894
K04519.01,0.9999853417885578
K03279.01,0.9999852866653672
K03145.01,0.9999851314363245
K00875.01,0.9999847939633257
K02598.01,0.9999847480326925
K04393.01,0.9999847267085591
K04037.01,0.9999846979247478
K03029.01,0.9999845426818514
K01591.01,0.9999845425509564
K04774.01,0.9999843882633945
K04180.01,0.999984127398459
K03374.02,0.9999840932851918
K07076.01,0.9999840499572282
K06132.03,0.9999839851812858
K04613.01,0.9999838120374156
K01328.01,0.9999838045263857
K04084.03,0.9999834600612993
K02797.01,0.999983371941564
K01608.03,0.9999833519712179
K00750.02,0.9999831137508003
K01761.01,0.9999829712019281
K03933.01,0.99998289086133
K01066.01,0.9999826405109739
K02639.01,0.9999825520477607
K01473.01,0.9999825454971949
K02590.02,0.9999824346631141
K02023.01,0.9999823074682613
K04374.01,0.9999818422201805
K04099.01,0.9999817895957096
K02189.01,0.9999816411453817
K03377.01,0.9999816185002719
K02687.01,0.9999814921131731
K01884.02,0.9999814381881049
K02563.02,0.9999814037041328
K03396.01,0.999981108209232
K01242.01,0.9999807704319642
K02962.01,0.9999805005453298
K00804.01,0.9999804734980889
K03271.01,0.9999804726539355
K02663.01,0.9999804014133391
K06399.01,0.999980398983236
K04656.01,0.9999803928440812
K02404.01,0.9999803460583006
K01758.01,0.9999802367255489
K02012.02,0.9999802084371673
K01398.01,0.9999799989561973
K03463.01,0.9999797828136844
K04792.01,0.9999797551001307
K04938.01,0.9999794327818576
K01458.01,0.9999794042972477
K03075.01,0.999979363102481
K01095.01,0.9999791634141767
K06276.01,0.9999790388563667
K02935.01,0.9999789535841132
K03263.01,0.9999785691557964
K02106.01,0.9999785489232271
K01331.01,0.99997838715503
K04480.01,0.9999782948922405
K02712.01,0.9999782437152762
K01395.01,0.9999779370222859
K04508.01,0.9999776943948209
K03437.02,0.9999776365577736
K07116.01,0.9999774207388362
K03361.01,0.999977308823107
K04563.01,0.9999772464698466
K03117.01,0.999977006442521
K03425.03,0.9999769197260883
K03473.01,0.9999769089278714
K02968.01,0.9999768881646404
K03383.01,0.9999762908947933
K07378.01,0.9999762109285689
K01660.01,0.9999758161167778
K02096.01,0.9999757909438952
K05333.01,0.9999756847999801
K04235.01,0.9999753651920589
K02329.01,0.9999751504385856
K07376.01,0.9999750921402565
K02305.01,0.9999748846481431
K01647.03,0.9999747888525388
K02307.01,0.9999747858133654
K03136.01,0.9999745722687928
K04551.01,0.9999745697438044
K01681.04,0.9999745681660064
K04588.01,0.9999744171288516
K04274.01,0.999974387455981
K03508.01,0.9999743126597505
K00599.01,0.9999743102580743
K03078.01,0.9999742832164439
K02001.01,0.9999741573056361
K01646.01,0.9999740975509223
K04307.01,0.9999739476591465
K01166.01,0.99997394600853
K03208.01,0.9999738777096858
K04372.01,0.9999736569696596
K02696.01,0.9999734754263088
K04647.02,0.9999734043868279
K02315.01,0.999973208630639
K01781.03,0.9999726924415838
K03494.01,0.9999726403456546
K02370.01,0.9999725716247259
K04694.01,0.9999724518791127
K07638.01,0.9999724435127385
K02401.01,0.9999724427235431
K01783.02,0.9999723881003127
K04520.01,0.9999723771954684
K04733.01,0.9999721177999337
K04310.01,0.9999720060532299
K03355.01,0.9999718846974289
K04496.01,0.9999716421134117
K03068.02,0.9999715474142548
K04410.01,0.9999711699694347
K02821.01,0.9999711354667793
K02613.01,0.9999705529769375
K05435.01,0.9999704099194912
K04799.01,0.9999700826266915
K02967.01,0.9999698870882473
K03037.01,0.9999690102090548
K03495.01,0.9999686172034534
K04060.01,0.9999685234863112
K01803.01,0.9999683484013245
K03430.01,0.9999682479603854
K07327.01,0.9999681144490015
K03248.01,0.9999676995013352
K03077.02,0.999967564196568
K06267.01,0.9999674206564954
K02921.01,0.9999671927121212
